Locode,Phrase,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,AvgMsv,Competition,CostPerClick
AU,dole,1900.0,1900.0,1600.0,1900.0,1600.0,1900.0,1900.0,1600.0,1600.0,1600.0,1600.0,1900.0,1600.0,0.000904159,
AU,domestic violence shelter,110.0,110.0,70.0,90.0,90.0,110.0,90.0,110.0,90.0,90.0,110.0,140.0,90.0,0.31118493909192,2.082504
AU,donjoy,320.0,320.0,320.0,260.0,260.0,260.0,260.0,320.0,260.0,260.0,320.0,320.0,320.0,0.62564827911363,0.230301
AU,donut calories,170.0,210.0,210.0,170.0,210.0,170.0,210.0,210.0,110.0,170.0,170.0,210.0,170.0,0.001360544,
AU,door hanger,260.0,260.0,320.0,320.0,320.0,260.0,320.0,390.0,320.0,390.0,320.0,390.0,320.0,0.47890451517395005,0.388048
AU,dpac,260.0,320.0,390.0,320.0,320.0,320.0,320.0,320.0,210.0,320.0,260.0,320.0,320.0,0.010522055847834999,
AU,dr mehta,110.0,110.0,110.0,140.0,90.0,90.0,140.0,110.0,90.0,90.0,110.0,90.0,110.0,0.018759018759019003,
AU,dry erase paint,70.0,90.0,70.0,40.0,70.0,70.0,70.0,70.0,70.0,110.0,90.0,90.0,70.0,1.0,1.158187
AU,duane reade,480.0,480.0,390.0,390.0,1600.0,1000.0,720.0,480.0,480.0,480.0,320.0,320.0,590.0,0.000981836,
AU,dui,2400.0,1900.0,1900.0,1900.0,2400.0,1900.0,1900.0,1600.0,1900.0,2400.0,1600.0,2400.0,1900.0,0.048931638000000006,8.067931
AU,dwi,9900.0,9900.0,8100.0,9900.0,9900.0,9900.0,12100.0,14800.0,12100.0,9900.0,9900.0,9900.0,9900.0,0.100201248,0.21068
AU,e collar for dogs,210.0,210.0,140.0,170.0,140.0,140.0,140.0,210.0,170.0,210.0,170.0,170.0,170.0,1.0,1.449453
AU,e85 gas stations near me,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,0.047619047619048005,0.014508000000000002
AU,early childhood education,2400.0,2900.0,2900.0,2400.0,2400.0,1900.0,2400.0,2400.0,1900.0,2900.0,2400.0,2400.0,2400.0,0.653413534,4.861325
AU,east river ferry,50.0,50.0,50.0,50.0,50.0,50.0,40.0,30.0,20.0,50.0,50.0,40.0,50.0,,
AU,ebay bidding strategy,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.040816327,
AU,econazole nitrate,20.0,30.0,20.0,30.0,30.0,20.0,40.0,40.0,30.0,30.0,20.0,50.0,30.0,0.046004842615012,
AU,egg chairs,4400.0,4400.0,4400.0,4400.0,5400.0,5400.0,6600.0,8100.0,9900.0,6600.0,5400.0,5400.0,6600.0,1.0,0.95284
AU,elac,260.0,390.0,320.0,260.0,260.0,260.0,320.0,260.0,260.0,260.0,210.0,260.0,260.0,0.55866261398176,0.6583709999999999
AU,electronic repair,590.0,590.0,720.0,590.0,590.0,590.0,720.0,720.0,720.0,1000.0,880.0,880.0,720.0,0.19602356406479998,1.003314
AU,eloise mumford,480.0,390.0,320.0,390.0,260.0,480.0,320.0,260.0,880.0,590.0,1600.0,480.0,480.0,,
AU,embeds,1600.0,1900.0,1600.0,1600.0,1900.0,1900.0,1900.0,1900.0,1300.0,2400.0,1600.0,1900.0,1900.0,0.00014026229048299998,
AU,end the fed,50.0,40.0,30.0,50.0,50.0,50.0,70.0,110.0,40.0,40.0,40.0,40.0,50.0,,
AU,entrepreneur magazines,390.0,390.0,260.0,320.0,390.0,320.0,320.0,260.0,210.0,390.0,260.0,320.0,320.0,0.092561284868977,0.940507
AU,epi pen,5400.0,6600.0,6600.0,5400.0,14800.0,9900.0,8100.0,6600.0,5400.0,6600.0,8100.0,12100.0,8100.0,0.034389709000000004,0.27779299999999996
AU,escargot,2900.0,3600.0,3600.0,3600.0,4400.0,3600.0,3600.0,4400.0,3600.0,2900.0,3600.0,4400.0,3600.0,0.021218962,1.7341540000000002
AU,everglades,2400.0,2400.0,2400.0,1900.0,1900.0,1900.0,2400.0,2400.0,1900.0,2400.0,2400.0,2400.0,2400.0,0.055677961055202015,0.95497
AU,exmark mower,10.0,10.0,30.0,10.0,10.0,20.0,10.0,30.0,20.0,40.0,20.0,30.0,20.0,0.26728110599078,0.273908
AU,expressionism,2400.0,3600.0,2400.0,2400.0,2900.0,2400.0,2900.0,1900.0,880.0,1000.0,2900.0,3600.0,2400.0,0.0021612275772630004,2.876265
AU,eye doctor,1600.0,1900.0,2400.0,1600.0,1900.0,1600.0,1900.0,1900.0,1600.0,1900.0,1900.0,2400.0,1900.0,0.15881459,3.122619
AU,eyeglasses online,140.0,170.0,170.0,170.0,170.0,210.0,210.0,210.0,140.0,140.0,170.0,170.0,170.0,1.0,1.9070580000000001
AU,facebook login,6120000.0,6120000.0,6120000.0,6120000.0,6120000.0,6120000.0,6120000.0,6120000.0,6120000.0,6120000.0,5000000.0,6120000.0,6120000.0,0.004143082,0.03227
AU,fairplay co,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
AU,fantasy football league,260.0,140.0,30.0,110.0,480.0,170.0,110.0,70.0,170.0,110.0,110.0,170.0,170.0,0.056277056277056,7.686307000000001
AU,fashion styles,720.0,720.0,720.0,720.0,720.0,720.0,720.0,590.0,480.0,590.0,590.0,720.0,590.0,0.13051948051948,6.355908
AU,fbi internships,10.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,,
AU,federal express locations,,,,,,,,,,,,,10.0,,
AU,fedex shipping rate,30.0,30.0,30.0,40.0,30.0,40.0,30.0,40.0,30.0,20.0,20.0,30.0,30.0,0.2,0.8832519999999999
AU,fiber optical,2400.0,3600.0,2400.0,2400.0,2900.0,2400.0,2900.0,2400.0,1600.0,1900.0,2400.0,2900.0,2400.0,0.19858374384235997,5.338572
AU,filgrastim,880.0,720.0,720.0,720.0,880.0,880.0,880.0,880.0,720.0,880.0,880.0,880.0,880.0,,
AU,financial aid college,,,,,,,,,,,,,10.0,,
AU,finger sandwiches,720.0,880.0,590.0,590.0,720.0,720.0,720.0,720.0,480.0,590.0,590.0,720.0,720.0,0.10351357037660001,0.9803129999999999
AU,fire pit ideas,2400.0,2900.0,2400.0,1900.0,1600.0,1300.0,1600.0,1300.0,1000.0,1000.0,1000.0,1600.0,1600.0,0.9988405797101401,0.579183
